PLAYER,CA,PassingYDS,PassingTD,PassingINT,RushingCAR,RushingYDS,RushingTD,REC,ReceivingYDS,ReceivingTD,ReceivingTAR,TWOPC,FUML,TD,FPTS,AVG
"Christian McCaffrey
CarRB",0/2,0,0,0,287,1387,15,116,1005,4,141,1,0,0,471.2,29.5
"Aaron Jones
GBRB",0/0,0,0,0,236,1084,16,49,474,3,68,0,2,0,314.8,19.7
"Ezekiel Elliott
DalRB",0/0,0,0,0,301,1357,12,54,420,2,71,0,2,0,311.7,19.5
"Austin Ekeler
LACRB",0/0,0,0,0,132,557,3,92,993,8,108,0,2,0,309,19.3
"Derrick Henry
TenRB",0/0,0,0,0,303,1540,16,18,206,2,24,0,3,0,294.6,19.6
"Dalvin Cook
MinRB",0/0,0,0,0,250,1135,13,53,519,0,63,0,2,0,292.4,20.9
"Leonard Fournette
JaxRB",0/0,0,0,0,265,1152,3,76,522,0,100,0,1,0,259.4,17.3
"Nick Chubb
CleRB",0/0,0,0,0,298,1494,8,36,278,0,49,0,3,0,255.2,16
"Alvin Kamara
NORB",1/1,13,0,0,171,797,5,81,533,1,97,0,1,0,248.52,17.8
"Saquon Barkley
NYGRB",0/0,0,0,0,217,1003,6,52,438,2,73,0,0,0,244.1,18.8
"Mark Ingram II
BalRB",0/0,0,0,0,202,1018,10,26,247,5,29,2,2,0,242.5,16.2
"Chris Carson
SeaRB",0/0,0,0,0,278,1230,7,37,266,2,47,0,4,0,232.6,15.5
"Joe Mixon
CinRB",0/0,0,0,0,278,1137,5,35,287,3,45,0,0,0,225.4,14.1
"Todd Gurley II
AtlRB",0/0,0,0,0,223,857,12,31,207,2,49,1,2,0,219.4,14.6
"Miles SandersQ
PhiRB",0/0,0,0,0,179,818,3,50,509,3,63,1,1,0,218.7,13.7
"Le'Veon Bell
NYJRB",0/0,0,0,0,245,789,3,66,461,1,78,1,1,0,215,14.3
"Kenyan Drake
AriRB",0/0,0,0,0,170,817,8,50,345,0,68,1,1,0,214.2,15.3
