RANK,PLAYER,PLAYER,POS,TEAM,BYE,CMP,ATT,CMP%,Y/A,PassingYDS,PassingTD,PassingINT,RushingAttempts,RushingYDS,RushingY/A,RushingTD,ReceivingTargets,ReceivingREC,ReceivingYDS,ReceivingY/R,ReceivingTD,Interceptions,FumbleRecoveries,Sacks,DefensiveTD,PointsAgainst,FPTS
1,Patrick Mahomes,Patrick Mahomes,QB,KC,12,442,660,66.9,7.7,5077,39.5,10.1,55,283,5.2,2.6,,0,0,,0,,,,,,384.8
2,Josh Allen,Josh Allen,QB,BUF,7,405,605,66.9,7.8,4701,32.1,12.1,102,459,4.5,6.7,,0,5,,0.2,,,,,,380
3,Kyler Murray,Kyler Murray,QB,ARI,12,390,582,67.1,7.3,4244,27,12.7,109,626,5.8,6.7,,0,0,,0,,,,,,355.2
4,Lamar Jackson,Lamar Jackson,QB,BAL,8,282,432,65.3,7.4,3198,25.8,8.9,151,963,6.4,6.4,,0,0,,0,,,,,,348
5,Russell Wilson,Russell Wilson,QB,SEA,9,406,588,68.9,7.6,4456,35.1,11.9,72,401,5.6,1.5,,0,5,,0.1,,,,,,345.1
6,Dak Prescott,Dak Prescott,QB,DAL,7,405,605,67,7.9,4759,30.2,12.9,50,206,4.1,3.4,,1,5,,0.6,,,,,,330.5
7,Justin Herbert,Justin Herbert,QB,LAC,7,416,626,66.4,7.4,4614,30.9,11.5,52,247,4.8,3,,0,0,,0,,,,,,327.9
8,Aaron Rodgers,Aaron Rodgers,QB,GB,13,388,568,68.4,7.7,4359,34,9.1,38,143,3.8,1.7,,0,0,,0,,,,,,316.7
9,Jalen Hurts,Jalen Hurts,QB,PHI,14,298,497,60,7.2,3602,21.6,11.6,130,704,5.4,5.7,,1,8,,0.2,,,,,,313.8
10,Tom Brady,Tom Brady,QB,TB,9,406,625,65,7.4,4630,34.4,12.8,27,7,0.3,1.6,,0,0,,0,,,,,,307.5
11,Matthew Stafford,Matthew Stafford,QB,LAR,11,407,624,65.3,7.4,4633,28.8,12.2,28,93,3.4,1.8,,0,0,,0,,,,,,296.2
12,Matt Ryan,Matt Ryan,QB,ATL,6,405,613,66.1,7.4,4514,26.6,12.1,38,133,3.5,2.2,,0,0,,0,,,,,,289.3
13,Ryan Tannehill,Ryan Tannehill,QB,TEN,13,342,529,64.7,7.6,3998,26.3,11.6,43,210,4.9,4.1,,1,8,,0.1,,,,,,288.9
14,Trevor Lawrence,Trevor Lawrence,QB,JAC,7,353,571,61.8,7.1,4073,24.1,14.8,59,316,5.3,3.5,,0,0,,0,,,,,,282.3
15,Joe Burrow,Joe Burrow,QB,CIN,10,386,588,65.6,7.1,4187,25.5,12,42,182,4.4,2.4,,0,0,,0,,,,,,278.1
16,Kirk Cousins,Kirk Cousins,QB,MIN,7,366,544,67.3,7.8,4255,28.4,13.3,38,123,3.3,1.2,,0,0,,0,,,,,,276.7
17,Trey Lance,Trey Lance,QB,SF,6,246,376,65.5,7.7,2909,18.7,8.8,122,624,5.1,5.7,,1,13,,0.2,,,,,,272.6
18,Christian McCaffrey,Christian McCaffrey,RB,CAR,13,,,,,8,0.1,0,260,1120,4.3,11.3,120,85,646,7.6,4,,,,,,269.2
19,Baker Mayfield,Baker Mayfield,QB,CLE,13,345,547,63,7.2,3942,27.3,12.8,47,159,3.4,1.9,,0,4,,0,,,,,,269
20,Tua Tagovailoa,Tua Tagovailoa,QB,MIA,14,357,550,64.8,7.3,3999,23.6,11.6,54,178,3.3,2.6,,1,9,,0.2,,,,,,266.7
21,Dalvin Cook,Dalvin Cook,RB,MIN,7,,,,,0,0,0,288,1386,4.8,13.4,64,50,426,8.5,0.8,,,,,,266.4
22,Jameis Winston,Jameis Winston,QB,NO,6,340,508,66.8,7.5,3828,25.6,12.7,48,192,4,2.1,,0,0,,0,,,,,,262
23,Mac Jones,Mac Jones,QB,NE,14,372,587,63.4,7.2,4248,24.1,13.2,36,100,2.8,1.9,,0,0,,0,,,,,,261.3
24,Daniel Jones,Daniel Jones,QB,NYG,10,342,541,63.2,6.8,3692,23,11.1,56,326,5.8,1.6,,0,0,,0,,,,,,259.7
25,Justin Fields,Justin Fields,QB,CHI,10,275,445,61.8,6.8,3017,18.5,9.9,94,510,5.4,4,,0,8,,0.1,,,,,,251.3
26,Derrick Henry,Derrick Henry,RB,TEN,13,,,,,4,0.1,0,324,1497,4.6,13.6,33,21,157,7.4,0.6,,,,,,251.2
27,Ryan Fitzpatrick,Ryan Fitzpatrick,QB,WAS,9,348,554,62.8,7,3855,24,14.8,30,149,5,1.6,,0,0,,0,,,,,,245.1
28,Derek Carr,Derek Carr,QB,LV,8,319,480,66.4,7.9,3797,22.7,8.9,24,90,3.7,1.7,,0,0,,0,,,,,,244.1
