RANK,PLAYER,PLAYER,POS,TEAM,BYE,CMP,ATT,CMP%,Y/A,PassingYDS,PassingTD,PassingINT,RushingAttempts,RushingYDS,RushingY/A,RushingTD,ReceivingTargets,ReceivingREC,ReceivingYDS,ReceivingY/R,ReceivingTD,Interceptions,FumbleRecoveries,Sacks,DefensiveTD,PointsAgainst,YardsAgainst,FGM,FGA,XPM,FPTS
1,Josh Allen,Josh Allen,QB,BUF,7,369,575,0.6417391304,7.144347826,4108,33,13,113,677,5.991150442,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375.1
2,Patrick Mahomes,Patrick Mahomes,QB,KC,8,395,614,0.6433224756,7.482084691,4594,36,12,62,358,5.774193548,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351.1
3,Justin Herbert,Justin Herbert,QB,LAC,8,379,579,0.6545768566,7.355785838,4259,34,12,58,270,4.655172414,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.8
4,Jalen Hurts,Jalen Hurts,QB,PHI,7,277,449,0.6169265033,7.345211581,3298,23,11,132,721,5.462121212,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320.6
5,Jonathan Taylor,Jonathan Taylor,RB,IND,14,0,0,0,0,0,0,0,317,1546,4.876971609,13,54,42,341,8.119047619,1,0,0,0,0,0,0,0,0,0,318.7
6,Dak Prescott,Dak Prescott,QB,DAL,9,388,595,0.6521008403,7.381512605,4392,33,11,52,196,3.769230769,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.7
7,Lamar Jackson,Lamar Jackson,QB,BAL,10,308,477,0.6457023061,7.169811321,3420,23,14,160,924,5.775,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.4
8,Kyler Murray,Kyler Murray,QB,ARI,13,371,566,0.6554770318,7.256183746,4107,25,13,97,492,5.072164948,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313.6
9,Cooper Kupp,Cooper Kupp,WR,LAR,7,0,0,0,0,0,0,0,4,25,6.25,0,156,114,1348,11.8245614,10,0,0,0,0,0,0,0,0,0,310.8
10,Christian McCaffrey,Christian McCaffrey,RB,CAR,13,0,0,0,0,0,0,0,216,944,4.37037037,7,105,90,681,7.566666667,2,0,0,0,0,0,0,0,0,0,310.4
11,Tom Brady,Tom Brady,QB,TB,11,425,638,0.6661442006,7.120689655,4543,34,12,28,42,1.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307.1
12,Aaron Rodgers,Aaron Rodgers,QB,GB,14,373,565,0.6601769912,7.355752212,4156,33,7,36,138,3.833333333,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306.8
13,Russell Wilson,Russell Wilson,QB,DEN,9,342,543,0.6298342541,7.517495396,4082,30,10,64,303,4.734375,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.3
14,Joe Burrow,Joe Burrow,QB,CIN,10,368,552,0.6666666667,7.610507246,4201,30,12,50,170,3.4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294.6
15,Justin Jefferson,Justin Jefferson,WR,MIN,7,2,3,0.6666666667,9.5,19,0,0,4,24,6,0,150,98,1367,13.94897959,8,0,0,0,0,0,0,0,0,0,288.7
16,Matthew Stafford,Matthew Stafford,QB,LAR,7,380,573,0.6631762653,7.551483421,4327,32,14,35,82,2.342857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285.8
17,Austin Ekeler,Austin Ekeler,RB,LAC,8,0,0,0,0,0,0,0,204,894,4.382352941,8,84,66,611,9.257575758,3,0,0,0,0,0,0,0,0,0,283.5
18,Trey Lance,Trey Lance,QB,SF,9,297,457,0.6498905908,7.63238512,3488,22,12,113,519,4.592920354,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282.7
19,Ja'Marr Chase,Ja'Marr Chase,WR,CIN,10,0,0,0,0,0,0,0,14,82,5.857142857,1,131,84,1258,14.97619048,9,0,0,0,0,0,0,0,0,0,276.6
20,Kirk Cousins,Kirk Cousins,QB,MIN,7,371,563,0.6589698046,7.30017762,4110,29,10,28,97,3.464285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.6
21,Derrick Henry,Derrick Henry,RB,TEN,6,0,0,0,0,0,0,0,344,1466,4.261627907,11,37,29,217,7.482758621,1,0,0,0,0,0,0,0,0,0,266.3
22,Najee Harris,Najee Harris,RB,PIT,9,0,0,0,0,0,0,0,276,1136,4.115942029,7,76,59,390,6.610169492,2,0,0,0,0,0,0,0,0,0,262.7
23,Derek Carr,Derek Carr,QB,LV,6,386,579,0.6666666667,7.224525043,4183,27,12,32,102,3.1875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259.2
24,Dalvin Cook,Dalvin Cook,RB,MIN,7,0,0,0,0,0,0,0,257,1142,4.443579767,10,58,45,359,7.977777778,1,0,0,0,0,0,0,0,0,0,259
25,Leonard Fournette,Leonard Fournette,RB,TB,11,0,0,0,0,0,0,0,216,927,4.291666667,9,73,59,391,6.627118644,2,0,0,0,0,0,0,0,0,0,259
26,Trevor Lawrence,Trevor Lawrence,QB,JAX,11,366,576,0.6354166667,6.744791667,3885,23,15,64,307,4.796875,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.5
27,Deebo Samuel,Deebo Samuel,WR,SF,9,0,0,0,0,0,0,0,60,373,6.216666667,4,104,68,983,14.45588235,5,0,0,0,0,0,0,0,0,0,258.4
28,Stefon Diggs,Stefon Diggs,WR,BUF,7,0,0,0,0,0,0,0,0,0,0,0,142,93,1147,12.33333333,8,0,0,0,0,0,0,0,0,0,258.4
29,D'Andre Swift,D'Andre Swift,RB,DET,6,0,0,0,0,0,0,0,202,858,4.247524752,7,84,66,502,7.606060606,3,0,0,0,0,0,0,0,0,0,258
30,Joe Mixon,Joe Mixon,RB,CIN,10,0,0,0,0,0,0,0,268,1125,4.197761194,10,51,42,281,6.69047619,2,0,0,0,0,0,0,0,0,0,257.8
