RANK,PLAYER,POS,TEAM,BYE,CMP,ATT,CMP%,Y/A,PassingYDS,PassingTD,PassingINT,RushingAttempts,RushingYDS,RushingY/A,RushingTD,ReceivingTargets,ReceivingREC,ReceivingYDS,ReceivingY/R,ReceivingTD,Fumbles,Interceptions,FumbleRecoveries,Sacks,DefensiveTD,PointsAgainst,YardsAgainst,FGM,FGA,XPM,FPTS
1,Patrick Mahomes II,QB,KC,10,405.6,609.8,0.6651361102,7.920629715,4830.00,37.7,11.2,64.9,356.8,5.497688752,3.2,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,383.7
2,Josh Allen,QB,BUF,13,364.1,577,0.6310225303,7.427383016,4285.60,32.1,14.2,116.6,660,5.660377358,6.2,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,380.8
3,Jalen Hurts,QB,PHI,10,317.8,493.6,0.6438411669,7.70623987,3803.80,23.5,10.1,157.7,800.4,5.075459734,11,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,376.3
4,Lamar Jackson,QB,BAL,13,305.9,481.8,0.6349107513,7.241178912,3488.80,25.6,11.6,148,938.4,6.340540541,5.5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,350.9
5,Joe Burrow,QB,CIN,7,402,591.3,0.6798579401,7.762387959,4589.90,32.7,12.9,63.8,269.3,4.221003135,3.7,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,346.1
6,Justin Fields,QB,CHI,13,252.7,410.7,0.6152909666,7.128317507,2927.60,20.4,12.9,160.2,1066.00,6.654182272,6.8,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,326.5
7,Justin Herbert,QB,LAC,5,421.4,627.2,0.671875,7.322544643,4592.70,30.1,12.7,57.2,220.9,3.861888112,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,321.5
8,Deshaun Watson,QB,CLE,5,324.1,503.8,0.6433108376,7.642516872,3850.30,24.7,11,97.1,485.8,5.003089598,4.1,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,311.2
9,Dak Prescott,QB,DAL,7,364.3,552.1,0.6598442311,7.463140735,4120.40,29.2,13.8,58.8,251.4,4.275510204,2.4,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,301.2
10,Trevor Lawrence,QB,JAC,9,378.4,578.4,0.6542185339,7.068637621,4088.50,26.9,12.2,62.3,285.3,4.579454254,3.9,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,300.6
11,Kirk Cousins,QB,MIN,13,394.7,592.5,0.6661603376,7.488607595,4437.00,30.4,12.3,31.6,92.1,2.914556962,1.5,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,299.5
12,Geno Smith,QB,SEA,5,371,544.8,0.6809838473,7.440345081,4053.50,27.1,11.3,62.3,324.7,5.21187801,2,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,296.8
13,Daniel Jones,QB,NYG,13,335.4,515.6,0.6505042669,6.732350659,3471.20,20.8,10,109.3,636.5,5.823421775,4.9,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,296.8
14,Aaron Rodgers,QB,NYJ,7,361.9,559.3,0.6470588235,7.260682997,4060.90,28.1,8.7,35.5,121.5,3.422535211,1.5,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,282.2
15,Tua Tagovailoa,QB,MIA,10,350.8,535.8,0.6547219112,7.691302725,4121.00,27.2,12.3,43.1,133.4,3.09512761,1.7,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,280.9
16,Russell Wilson,QB,DEN,9,321.7,510.8,0.6297963978,7.423257635,3791.80,23.9,10.9,63.4,317.3,5.004731861,2.6,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,279.6
